question,expected_intent,predicted_intent,confidence,agency,recommended_action,escalation,pass_fail,answer
What can I do about loud music from my neighbor?,noise_complaint,noise_complaint,0.9,NYPD or DEP depending on the noise source,File a 311 noise complaint if the issue is ongoing and not an emergency.,none,PASS,"1. Likely issue: Loud music noise complaint from a neighbor.

2. Recommended next step: If the loud music is ongoing and disturbing, you can file a noise complaint through NYC 311. This is typically handled by the NYPD for residential noise issues. If the noise is an emergency or involves a safety threat, call 911 immediately.

3. Agency or service area: NYPD is the primary agency responsible for residential noise complaints like loud music.

4. Notes from project or NYC 311 data: Noise complaints about loud music from neighbors are common and often resolved by the NYPD. Median response times can vary, but many cases are addressed within hours. Filing a 311 complaint helps document the issue and prompt enforcement.

5. Escalation guidance if needed: For persistent noise after filing a complaint, you may follow up with 311 or local precincts. For emergencies or if the noise is part of a crime in progress, call 911."
There is construction noise late at night. Can I report that?,noise_complaint,noise_complaint,0.75,NYPD or DEP depending on the noise source,File a 311 noise complaint if the issue is ongoing and not an emergency.,none,PASS,"1. Likely issue: Construction noise occurring late at night, which is a type of noise complaint.

2. Recommended next step: If the noise is ongoing and not an emergency, you can file a 311 noise complaint to report the disturbance.

3. Agency or service area: The responsible agency is typically the NYPD or the Department of Environmental Protection (DEP), depending on the exact source of the construction noise.

4. Notes from project or NYC 311 data: Noise complaints are common in NYC, with residential noise being the most frequent type. Response times vary, and many noise complaints are handled by NYPD. Construction noise complaints specifically may be routed to DEP if related to construction activities.

5. Escalation guidance if needed: If the noise poses an immediate safety threat, involves a crime in progress, or is an emergency, call 911. Otherwise, use 311 to report the issue. This prototype does not submit official requests or check live status."
A car alarm has been going off for hours. Is that a 311 issue?,noise_complaint,noise_complaint,0.6,NYPD or DEP depending on the noise source,File a 311 noise complaint if the issue is ongoing and not an emergency.,none,PASS,"1. Likely issue: A vehicle noise complaint due to a car alarm sounding for hours.
2. Recommended next step: You can file a 311 noise complaint specifically for a vehicle noise issue if the alarm has been going off for an extended period and is not an emergency.
3. Agency or service area: The NYPD typically handles vehicle noise complaints.
4. Notes from project or NYC 311 data: Vehicle noise complaints are a recognized category with over 380,000 records historically. Response times can vary, with some cases taking several hours to resolve.
5. Escalation guidance if needed: If the noise is related to a safety threat, crime in progress, or emergency, call 911 immediately. Otherwise, filing a 311 complaint is the appropriate non-emergency step."
My upstairs neighbor is making noise every night. Who handles that?,noise_complaint,noise_complaint,0.9,NYPD or DEP depending on the noise source,File a 311 noise complaint if the issue is ongoing and not an emergency.,none,PASS,"1. Likely issue: Noise complaint about a neighbor making noise at night, likely residential noise.

2. Recommended next step: If the noise is ongoing and disturbing your peace, you can file a noise complaint through NYC 311. This is typically handled by the NYPD for residential noise issues.

3. Agency or service area: NYPD is the primary agency responsible for residential noise complaints.

4. Notes from project or NYC 311 data: Residential noise complaints are among the most common NYC 311 requests, with issues like loud music, banging, or parties frequently reported. NYPD often responds to these complaints, and many are resolved the same day. Response times can vary but median times are around a few hours.

5. Escalation guidance if needed: If the noise involves an emergency, threat to safety, or crime in progress, call 911 immediately. For ongoing noise disturbances not resolved through 311, you may consider contacting your building management or local community board for additional support.

This prototype does not submit official 311 requests or check live status. For official filing, please use the NYC 311 website or call 311 directly."
There is loud street noise from a party outside. What should I do?,noise_complaint,noise_complaint,0.9,NYPD or DEP depending on the noise source,File a 311 noise complaint if the issue is ongoing and not an emergency.,none,PASS,"1. Likely issue: Loud noise complaint due to a party outside, categorized as Noise - Residential or Noise - Commercial depending on the location.

2. Recommended next step: If the noise disturbance is ongoing and not an emergency, you can file a noise complaint through NYC 311. This helps alert the NYPD to address the issue.

3. Agency or service area: NYPD is the primary agency responsible for noise complaints related to loud music or parties.

4. Notes from project or NYC 311 data: Noise complaints about loud parties are common and often resolved by NYPD intervention. Median response times vary but many cases are closed the same day. This is a typical non-emergency noise issue.

5. Escalation guidance if needed: If the noise is part of a safety threat, crime in progress, or emergency, call 911 immediately. Otherwise, use 311 to report and track the complaint.

This prototype does not submit official requests or check live status. For official filing, please contact NYC 311 directly."
My apartment has no heat. What should I do?,heat_hot_water,heat_hot_water,0.75,HPD,File a 311 heat or hot water complaint and include building details.,none,PASS,"1. Likely issue: No heat in your apartment.
2. Recommended next step: File a 311 heat or hot water complaint, including your building details, so the Department of Housing Preservation and Development (HPD) can address the issue.
3. Agency or service area: HPD (Department of Housing Preservation and Development).
4. Notes from project or NYC 311 data: Heat and hot water complaints are common, with over 1.6 million records in the dataset. Response times vary widely, but filing a complaint through 311 is the standard way to initiate service.
5. Escalation guidance if needed: If this is an emergency (e.g., no heat during dangerously cold weather), or if you suspect a safety hazard, call 911 immediately. Otherwise, follow up with 311 if the issue is not resolved in a timely manner."
My landlord has not fixed hot water for three days.,heat_hot_water,heat_hot_water,0.75,HPD,File a 311 heat or hot water complaint and include building details.,none,PASS,"1. Likely issue: Lack of hot water in your apartment due to landlord not fixing it for three days.
2. Recommended next step: File a 311 heat or hot water complaint with details about your building and landlord to prompt inspection and enforcement.
3. Agency or service area: NYC Department of Housing Preservation and Development (HPD).
4. Notes from project or NYC 311 data: Heat/hot water complaints are common with over 1.6 million records; response times vary widely but some cases get same-day closure. HPD handles these complaints to ensure landlords provide required heat and hot water.
5. Escalation guidance if needed: If this issue poses an immediate health or safety risk, or if you experience no resolution after filing a complaint, consider contacting HPD directly or seeking tenant legal assistance. For emergencies, call 911. 

This prototype does not submit official 311 requests or check live status. For official help, please contact 311 directly."
There is mold in my apartment. Is that a 311 complaint?,housing_condition,housing_condition,0.75,HPD,File a 311 housing maintenance complaint with location and condition details.,none,PASS,"1. Likely issue: Mold presence in an apartment, a housing maintenance concern.
2. Recommended next step: File a 311 housing maintenance complaint providing your apartment location and details about the mold condition.
3. Agency or service area: NYC Department of Housing Preservation and Development (HPD).
4. Notes from project or NYC 311 data: Mold issues fall under housing conditions typically handled by HPD. Complaints about housing maintenance, including mold, are common and HPD is the responsible agency for enforcement and inspections.
5. Escalation guidance if needed: If the mold poses an immediate health risk or there are other urgent safety concerns, consider contacting emergency services or seeking legal advice. For non-emergencies, 311 is the proper channel to report and track housing maintenance issues."
My ceiling is leaking. Who do I contact?,housing_condition,housing_condition,0.75,HPD,File a 311 housing maintenance complaint with location and condition details.,none,PASS,"1. Likely issue: Ceiling leak in a housing unit, indicating a housing maintenance problem.
2. Recommended next step: File a 311 housing maintenance complaint providing the exact location and details about the leak in your ceiling.
3. Agency or service area: NYC Department of Housing Preservation and Development (HPD).
4. Notes from project or NYC 311 data: Ceiling leaks fall under housing condition complaints, which HPD handles. These types of complaints are common and typically require landlord or HPD intervention to resolve.
5. Escalation guidance if needed: If the leak causes immediate safety hazards or structural damage, consider contacting emergency services or your building management promptly. For non-emergencies, 311 is the proper channel. This prototype does not submit requests or track status."
The building has broken stairs and no lights in the hallway.,housing_condition,housing_condition,0.95,HPD,File a 311 housing maintenance complaint with location and condition details.,none,PASS,"1. Likely issue: Broken stairs and no lighting in the building hallway, indicating unsafe housing conditions.
2. Recommended next step: File a 311 housing maintenance complaint providing the exact location and detailed description of the broken stairs and lack of hallway lighting.
3. Agency or service area: NYC Department of Housing Preservation and Development (HPD).
4. Notes from project or NYC 311 data: Housing maintenance complaints are commonly routed to HPD. Response times can vary, with a median around 4.6 hours but some cases experiencing longer delays. Providing detailed information helps prioritize the complaint.
5. Escalation guidance if needed: If the condition poses an immediate safety hazard, consider calling 911. Otherwise, follow up with HPD through 311 if the issue is not addressed in a timely manner."
