question,answer
What can I do about loud music from my neighbor?,"You are experiencing loud music from your neighbor, which is a common residential noise complaint in NYC. The likely 311 complaint category is ""Noise - Residential"" with the descriptor ""Loud Music/Party."" The responsible agency for handling this issue is the NYPD.

Historically, many noise complaints about loud music are addressed by the NYPD, and some are resolved the same day. Response times can vary, but many cases see action within a few hours.

Practical next steps:
- If the noise is ongoing and disruptive, you can file a noise complaint with NYC 311 online or by phone.
- Document the times and nature of the noise to support your complaint.
- If the noise escalates to a disturbance or if you feel unsafe, contact the NYPD directly.
- For emergencies or immediate threats to safety, call 911.

Please note, this prototype does not submit official 311 requests or check live status."
There is construction noise late at night. Can I report that?,"You can report construction noise late at night as a noise complaint, likely under ""Noise - Commercial"" or ""Noise"" categories. The responsible agency for noise issues, including construction noise, is often the Department of Environmental Protection (DEP) or the NYPD depending on the noise source and time.

Historical data shows noise complaints vary by type and borough, with response times ranging from a few hours to over a day. Complaints about construction noise (""Noise: Jack Hammering"") are typically handled by DEP.

Next steps:
- You can file a noise complaint through NYC 311 online or by phone, specifying the construction noise and time.
- Note that noise regulations often restrict construction during late-night hours, so your report can help enforcement.
- This prototype does not submit official requests or check live status.
- If the noise is part of an emergency or safety threat, call 911 immediately.

If you want, I can guide you on how to submit a noise complaint to 311."
A car alarm has been going off for hours. Is that a 311 issue?,"A car alarm going off for hours is typically considered a noise complaint. The likely 311 complaint category would be ""Noise - Vehicle,"" and the responsible agency is usually the NYPD or the local precinct, as they handle noise disturbances related to vehicles.

Historically, noise complaints are common but may have varied response times depending on priority and resource availability. Since your issue involves a prolonged disturbance, it is reasonable to report it to 311 for follow-up.

Practical next steps:
- You can call 311 or use the NYC 311 website/app to file a noise complaint about the vehicle alarm.
- Provide the exact location and duration of the alarm.
- If the noise is causing a safety concern or if you suspect a crime (e.g., theft attempt), call 911 immediately.

Please note this prototype does not submit official 311 requests or check live status. For emergencies or immediate threats, always call 911."
My upstairs neighbor is making noise every night. Who handles that?,"Your issue is about noise disturbances coming from your upstairs neighbor at night. The likely 311 complaint category is ""Noise - Residential,"" which covers noise like loud music, parties, or banging in residential buildings. The responsible agency for these complaints is typically the NYPD.

Historically, noise complaints related to residential neighbors are common and often handled by the NYPD, with many cases resolved the same day. Response times can vary, but the NYPD usually responds promptly to noise disturbances.

Next steps:
- You can file a noise complaint with NYC 311 under ""Noise - Residential.""
- If the noise is ongoing and disruptive, document the times and nature of the noise.
- For immediate disturbances late at night, calling 311 or contacting the NYPD non-emergency line is appropriate.
- If you believe the noise issue involves safety threats or emergencies, call 911.

Please note this prototype does not submit official 311 requests or check live status."
There is loud street noise from a party outside. What should I do?,"You are experiencing loud street noise from a party. This type of issue typically falls under the ""Noise - Residential"" or ""Noise - Commercial"" complaint category, specifically described as ""Loud Music/Party."" The responsible agency for handling noise complaints related to parties is the NYPD.

Historically, noise complaints about loud parties are common and often receive a response from the NYPD. Response times can vary, but many such complaints are resolved within a few hours, sometimes even the same day.

Next steps:
- If the noise is not an emergency but is disturbing your peace, you can file a noise complaint with NYC 311, specifying the location and nature of the noise.
- If the noise is ongoing and severely disruptive, contacting 311 or using the NYC 311 app to report the issue is appropriate.
- For immediate safety concerns, threats, or if the noise is part of a crime in progress, call 911.

Please note, this prototype cannot submit official 311 requests or check live status updates. For urgent matters, always call 911."
My apartment has no heat. What should I do?,"You have no heat in your apartment. This issue typically falls under the ""HEAT/HOT WATER"" complaint category, which is handled by the NYC Department of Housing Preservation and Development (HPD).

From past data, response times can vary widely depending on the borough and whether the heat outage affects your entire building or just your apartment. Some cases are resolved the same day, but others may take longer.

Next steps:
- Contact your building management or landlord immediately to report the lack of heat.
- If the landlord does not address the issue promptly, you can file a 311 complaint with HPD specifying ""HEAT/HOT WATER"" and whether it affects your apartment only or the entire building.
- Keep records of your communications and any temperatures inside your apartment, as this can support your complaint.

Please note, this prototype does not submit official 311 requests or check live status. If you or anyone in your home is at risk due to the lack of heat, or if there is a safety emergency, call 911 immediately."
My landlord has not fixed hot water for three days.,"You are experiencing a lack of hot water in your apartment for three days. This issue typically falls under the 311 complaint category ""HEAT/HOT WATER,"" which is handled by the NYC Department of Housing Preservation and Development (HPD).

Historical data shows that response times for heat and hot water complaints vary widely, with some cases resolved within hours and others taking several days. Since your landlord has not fixed the problem, filing a 311 complaint with HPD can prompt an inspection or enforcement action.

Next steps:
- Contact your landlord again to request urgent repair.
- If the issue persists, file a 311 complaint under ""HEAT/HOT WATER"" to notify HPD.
- Keep records of your communications and any impact on your living conditions.

This prototype does not submit official requests or track live status. For emergencies involving safety or health risks, call 911 immediately."
There is mold in my apartment. Is that a 311 complaint?,"You have mold in your apartment, which is a health and housing concern. While mold itself is not explicitly listed in the top complaint types, it generally falls under ""UNSANITARY CONDITION"" or housing maintenance issues.

The likely responsible agency for mold problems in apartments is the NYC Department of Housing Preservation and Development (HPD). They handle housing quality and health hazards in residential buildings.

Based on historical patterns, complaints related to housing conditions can take some time to resolve, and response times vary by borough and issue severity.

Next steps:
- Contact your landlord or building management to address the mold issue promptly.
- If the landlord does not act, you can file a 311 complaint under ""UNSANITARY CONDITION"" or ""HEAT/HOT WATER"" if related to moisture problems, specifying mold in your apartment.
- Keep records and photos of the mold for documentation.

Note: This prototype does not submit official 311 requests or check live status. For any immediate health emergencies or severe mold exposure symptoms, please seek medical attention or call 911."
My ceiling is leaking. Who do I contact?,"A leaking ceiling in your home is typically a maintenance or repair issue related to your building. This is usually the responsibility of your landlord or property management if you rent, or your own maintenance if you own the property. 

311 handles many city-related complaints like illegal parking or street issues, but interior building repairs like ceiling leaks are generally not managed by NYC agencies unless the leak is caused by a city-owned property or infrastructure.

Next steps:
- If you rent, contact your landlord or building management immediately to report the leak.
- If you own your home, consider hiring a licensed plumber or contractor to assess and fix the problem.
- If the leak is severe and causing safety hazards (e.g., electrical issues, risk of collapse), and you believe it involves city property, you may call 311 for guidance.
- For emergencies involving immediate danger, call 911.

This prototype does not submit official 311 requests or check live request status."
The building has broken stairs and no lights in the hallway.,"You mentioned broken stairs and no lights in the hallway of a building. This situation involves building safety and maintenance issues.

The likely 311 complaint category is ""Building Condition"" or ""Unsafe Building,"" which typically falls under the Department of Buildings (DOB) or possibly the Housing Preservation and Development (HPD) agency if it is a residential property.

Historically, complaints about unsafe building conditions can have varied response times, with some cases resolved quickly and others taking longer depending on severity and resource availability.

Next steps:
- If the broken stairs and lack of lighting pose an immediate safety hazard, please avoid using the stairs and notify building management or your landlord right away.
- For non-emergency reporting, you can file a 311 complaint under ""Building Condition"" or ""Unsafe Building"" to alert DOB or HPD.
- If you believe the condition is an emergency risk to life or safety, call 911 immediately.

This prototype cannot submit official 311 requests or check live status but aims to guide you on the best course of action."
Trash was not picked up on my block. Can I report it?,"You can report missed trash pickup issues to the Department of Sanitation (DSNY), which is responsible for garbage collection in NYC. The likely 311 complaint category is ""Sanitation Worker or Vehicle Complaint,"" often used for sanitation-related concerns.

Historically, response times vary widely, with some cases resolved quickly and others taking longer, so reporting helps DSNY track and address service gaps.

Next steps:
- File a 311 complaint online or by phone under the sanitation category.
- Provide your exact location and details about the missed pickup.
- For urgent sanitation hazards, call 311 promptly.

This prototype does not submit official requests or check live status. For emergencies or safety threats, please call 911."
There is illegal dumping on the sidewalk.,"You reported illegal dumping on the sidewalk. This issue typically falls under the 311 complaint category ""Illegal Dumping"" or ""Sanitation Condition."" The responsible agency is usually the Department of Sanitation (DSNY).

Historical data shows that complaints about street conditions and sanitation are common and often handled by DSNY, with response times varying depending on location and workload. While the dataset here focuses more on noise and street condition complaints, illegal dumping is a recognized issue that DSNY addresses.

Next steps:
- You can file a 311 complaint online or by phone specifying the exact location of the illegal dumping.
- Provide clear details and, if possible, photos to help DSNY respond effectively.
- For urgent safety hazards related to the dumping, call 911.

Please note this prototype does not submit official 311 requests or track live status. For emergencies or immediate threats, always call 911."
Someone left furniture outside for days.,"It sounds like you are noticing furniture left outside for several days. This situation is often reported under the 311 complaint category ""Illegal Dumping"" or ""Bulk Item Disposal,"" depending on the exact circumstances.

The responsible agency is typically the NYC Department of Sanitation (DSNY), which handles removal of bulk items and illegal dumping.

Historically, complaints about illegal dumping and abandoned furniture are common and can take varying times to resolve depending on location and workload. Brooklyn, for example, has the highest volume of 311 requests overall, which can affect response times.

Next steps:
- You can report the issue to 311 by specifying the exact location and description of the furniture.
- DSNY will schedule pickup or cleanup as appropriate.
- If the furniture poses a safety hazard or blocks sidewalks, mention that in your report.

Please note this prototype cannot submit official 311 requests or check live status. For emergencies or safety threats, call 911 immediately."
My recycling was missed. What should I do?,"It sounds like your recycling collection was missed. This issue typically falls under the ""Missed Recycling Pickup"" complaint category, which is handled by the Department of Sanitation (DSNY).

Missed collections can sometimes happen due to scheduling or operational delays. While median response times for NYC service requests are around a few hours, some cases experience longer delays.

Next steps:
- You can report the missed recycling pickup directly to DSNY through their website or by calling 311.
- Check your local collection schedule to confirm the pickup day.
- If the issue persists or involves safety hazards, consider contacting 311 for assistance.

Please note, this prototype does not submit official requests or track live status. For emergencies or urgent safety concerns, call 911."
There are overflowing garbage cans near my building.,"You are noticing overflowing garbage cans near your building. This issue typically falls under the ""Sanitation Worker or Vehicle Complaint"" category, specifically related to ""Spilled Garbage"" or missed garbage collection. The responsible agency for this is the Department of Sanitation (DSNY).

Historically, sanitation complaints can sometimes experience delays in response, with some cases taking several hours or more to resolve. While many requests are closed the same day, others may take longer depending on workload and location.

Next steps you can take:
- Check if the garbage cans are city-provided and report the overflow through the official NYC 311 website or app under the Sanitation category.
- If the overflow poses a health hazard or attracts pests, mention this in your report for priority attention.
- For ongoing or repeated issues, consider contacting your local community board or elected officials to raise awareness.

Please note, this prototype cannot submit official 311 requests or check live status. If you see any immediate safety hazards or emergencies related to the garbage, call 911."
There is a pothole on my street.,"You have reported a pothole on your street. This issue typically falls under the ""Street Condition"" complaint category, specifically labeled as ""Pothole."" The responsible agency for pothole repairs is the NYC Department of Transportation (DOT).

Historically, DOT handles many pothole complaints across boroughs like Brooklyn, Manhattan, and Queens, with many requests closed on the same day. Response times can vary, with some cases resolved quickly and others taking longer depending on workload and location.

Next steps:
- You can report the pothole directly to NYC 311 through their website or mobile app for official tracking and repair scheduling.
- If the pothole poses an immediate safety hazard, exercise caution and consider notifying DOT promptly.
- This prototype does not submit official requests or check live status, so contacting 311 directly is recommended.

If the pothole causes a dangerous situation or an accident, call 911 immediately for emergency assistance."
The sidewalk is cracked and dangerous.,"You mentioned a cracked and dangerous sidewalk. This issue typically falls under the 311 complaint category ""Street Condition,"" which covers sidewalk defects like cracks and trip hazards. The responsible agency for sidewalk repairs is usually the Department of Transportation (DOT).

Historically, DOT handles many street condition complaints, including potholes and sidewalk issues, with varying response times depending on location and severity. While some requests are resolved quickly, others may take longer, especially if repairs require more extensive work.

Next steps:
- You can file a 311 complaint online or by phone specifying the exact location and nature of the sidewalk damage.
- If the crack poses an immediate safety hazard, avoid the area if possible and alert others nearby.
- For emergencies or if someone is injured due to the sidewalk condition, call 911 immediately.

Please note this prototype does not submit official 311 requests or track live status updates."
A streetlight is out.,"You reported a streetlight is out. This issue typically falls under the ""Street Light Condition"" complaint category, which is handled by the NYC Department of Transportation (DOT).

Historically, DOT manages streetlight outages, but response times can vary and some cases may not close the same day. While median response times are not specified here for streetlight outages, other DOT-related street condition issues sometimes resolve quickly, but some take longer.

Next steps:
- You can report the streetlight outage directly to NYC DOT through their online portal or by calling 311.
- Provide the exact location of the streetlight to help DOT address it efficiently.
- If the outage creates a safety hazard (e.g., dark intersections), exercise caution and consider notifying local authorities.

Note: This prototype does not submit official 311 requests or check live status. For emergencies or immediate safety threats, please call 911."
The traffic signal is not working.,"You mentioned that a traffic signal is not working. This issue typically falls under the 311 complaint category ""Traffic Signal Condition"" or ""Traffic Signal Malfunction."" The responsible agency is usually the NYC Department of Transportation (DOT).

Historically, traffic signal complaints are common and prioritized to ensure public safety and traffic flow. Response times can vary, with many requests resolved within hours, but some cases may take longer depending on complexity and resource availability.

Next steps:
- You can report the malfunctioning traffic signal to NYC 311 through their website or phone line.
- Provide the exact location (intersection or nearest cross streets) to help the DOT address the issue promptly.
- If the malfunctioning signal is causing immediate danger or accidents, please call 911 for emergency assistance.

Please note, this prototype does not submit official 311 requests or check live status updates."
There is a damaged street sign.,"You mentioned a damaged street sign. This issue typically falls under the ""Street Sign - Damaged"" or similar category, which is usually handled by the NYC Department of Transportation (DOT).

While the provided data does not include specific response times or complaint counts for damaged street signs, DOT is generally responsible for street infrastructure maintenance, including signs.

Next steps:
- You can report the damaged street sign directly to NYC 311 via their website or app under the ""Street Sign - Damaged"" complaint category.
- Provide the exact location of the sign to help DOT address it efficiently.
- If the damaged sign poses an immediate safety hazard, please call 911.

Please note this prototype does not submit official 311 requests or check live request status."
A car is blocking my driveway.,"You have a car blocking your driveway, which is typically reported as an Illegal Parking complaint. The responsible agency for this issue is the NYC Department of Transportation (DOT) or the Police Department, depending on the situation.

Illegal Parking is one of the most common complaint types in NYC, with over 2.6 million records historically, so the city is familiar with handling these requests. Response times can vary, with a median around a few hours, but some cases may take longer.

Next steps:
- You can report the illegally parked vehicle to 311 through the official NYC 311 website or app.
- Provide the exact location and any vehicle details to help enforcement.
- If the vehicle is blocking emergency access or creating a safety hazard, call 911 immediately.

Please note this prototype does not submit official 311 requests or check live status. For urgent safety concerns, always call 911."
